"t","tax.ids","per.audit.rate","per.penalty.rate","report.abs","report","hideable.reported","c1","perc.hideable.income","self.employed","transformed.per.audit.rate","c1.tilde","Delta.Morale","Delta.Network","Delta.Q","w","w.Q","w.non","penalty.and.past.tax.to.pay","past.tax.to.pay","audit.type","compliant.t0","compliant","refund.return","audited","penalized","V.new","Q.new","P.new","years.since.last.compliant","years.since.last.audit","years.since.last.penalty","freq.audits","freq.penalty","V.max","Delta.Per","propensity.prop.income.report","compliant.0.years.ago","compliant.1.years.ago","compliant.2.years.ago","compliant.3.years.ago","penalty.0.years.ago","penalty.1.years.ago","penalty.2.years.ago","penalty.3.years.ago","audited.0.years.ago","audited.1.years.ago","audited.2.years.ago","audited.3.years.ago","amount.under.reported.0.years.ago","amount.under.reported.1.years.ago","amount.under.reported.2.years.ago","amount.under.reported.3.years.ago","percent.reported.0.years.ago","percent.reported.1.years.ago","percent.reported.2.years.ago","percent.reported.3.years.ago","percent.hideable.reported.0.years.ago","percent.hideable.reported.1.years.ago","percent.hideable.reported.2.years.ago","percent.hideable.reported.3.years.ago"
388,1,0.14569629398561,0.160000008121959,105982,92,8.30618718902184,0,8.724689,FALSE,0.109877913429523,0.286196223516827,0.07762433,0.07762433,0,0,0.010101887723311,0.161505931905236,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.239130261905236,0.0202037754466219,0,162,337,337,1,1,0,0.07762433,0.119565130952618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8818,8398,7558,8864,92.3188153310105,92.684668989547,93.4163763066202,92.2787456445993,8.30618718902184,19.7679137903941,19.7679137903941,8.30618718902184
388,2,0.145696293985253,0.358024383651381,86401,95,32.1529760418588,0.02,7.36952,FALSE,0.109877913429523,0.359017137242967,0.375791860173999,1,0,0,0.010101887723017,0.373805673743319,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.749597533917318,0.0202037754460339,0,322,75,75,1,1,0,0.07762433,0.374798766958659,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4173,4180,4193,4220,95.3927175569148,95.384989069711,95.3706361649038,95.340826285689,32.1529760418588,32.1529760418588,32.1529760418588,32.1529760418588
388,3,0.293832148519451,0.421872007026603,48109,96,40.2503688792852,0.06,6.694602,FALSE,0.265822784810127,0.429417782863163,0.37389394063501,0.994128821453634,0,0,0.0101438916541918,0.303585476277275,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.677479416912285,0.0202877833083835,0,135,387,387,0,0,0,0.07762433,0.338739708456143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2228,2347,2590,2574,95.5738323698274,95.337425750442,94.8546794604367,94.8864652243876,40.2503688792852,25.3129610991065,25.3129610991065,25.3129610991065
388,4,0.0175241515923586,0.144900625,77149,100,100,0,100,TRUE,0.016053647632595,0.15722050340291,0.827350720277992,0.35920811,0,0.8386068524506,0.00175183051448746,NA,0,0,NA,TRUE,TRUE,TRUE,FALSE,FALSE,1.6772137049012,0.00350366102897493,0,0,10,10,15,12,0,1,0.8386068524506,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,100,100,100,100,100,100,100,100
388,5,0.293787507407729,0.260000163339401,15169,93,0,0.01,6.694602,FALSE,0.265822784810127,0.371478082270993,0.0692600392848039,0.0517495533333333,0,0,0.0101019647945968,0,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.138519825305915,0.0202039295891935,0,249,387,387,0,0,0,0.07762433,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1088,1088,1088,1088,93.307498308421,93.307498308421,93.307498308421,93.307498308421,0,0,0,0
388,6,0.0776919374455557,0.260053607633653,20216,90,90,0.02,100,TRUE,0.0411244143675169,0.289515273908485,0.901542876397186,0.66291231147588,0,0.900784167631414,0.018891027294597,NA,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,1.80156833526283,0.037782054589194,0,1,6,9,19,4,0,1,0.900784167631414,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2227,0,0,0,90.0770841687831,100,100,100,90,100,100,100
388,7,0.133429165774002,0.0600212593726581,31350,96,41.7737265877612,0.03,6.869751,FALSE,0.109877913429523,0.231421406070766,0.16864921600947,0.35920811,0,0,3.42265264134213e-23,0.53426192137717,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.70291113738664,6.84530528268427e-23,0,68,387,387,0,0,0,0.07762433,0.35145556869332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1462,1050,1715,1798,95.5443130561989,96.7999512373522,94.7732536876752,94.5202974521517,41.7737265877612,56.3302949408209,27.2171582347016,27.2171582347016
388,8,0.283031563843171,1.42999999915213,39337,93,0,0.01,6.869751,FALSE,0.265822784810127,0.481000968701554,0.0650778939272058,0.038812165,0,0,7.52649281707416e-11,0,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.134872953875081,1.50529856341483e-10,0,256,387,387,0,0,0,0.07762433,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2902,2902,2902,2902,93.1295721963115,93.1295721963115,93.1295721963115,93.1295721963115,0,0,0,0
388,9,0.0363730140398017,0.336741842526307,220660,89,14.0720863328685,0.07,12.801428,FALSE,0.016053647632595,0.310697511567888,0.124482048870255,0.385082886666667,0,0,0.0113671670314174,0.123915790099361,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,0.248397838969616,0.0227343340628348,0,265,387,387,0,0,0,0,0.124198919484808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27863,27872,27890,27926,88.7885628291949,88.784941433992,88.7776986435863,88.7632130627749,14.0720863328685,14.0720863328685,14.0720863328685,14.0720863328685
388,10,0.0614994890178306,0.145660649091933,373305,95,82.3498006868893,0.02,28.328292,FALSE,0.016053647632595,0.265759837672701,0.859315757524151,0.5,0,0,0.0303094634487156,0.775165544885366,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,1.63448130240952,0.0606189268974312,0,296,110,110,4,3,0,0.995250204112129,0.817240651204759,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20382,25075,34937,54428,94.8227906941301,93.6307269480577,91.1256912217066,86.1748038416305,82.3498006868893,78.8197608242672,68.2296412364007,50.57944192329
388,11,0.111106886543047,0.366537400101411,130368,98,77.0765467972554,0.02,8.724689,FALSE,0.0787486515641855,0.343422358084647,0.799835384415177,0.246574598,0,0,0.0101808109780658,0.814559913256273,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,1.61439529767145,0.0203616219561317,0,330,211,211,2,2,0,1,0.807197648835725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2230,2145,1995,2193,98.3182250109353,98.3823285419086,98.4954524200968,98.3461289008884,77.0765467972554,77.0765467972554,77.0765467972554,77.0765467972554
388,12,0.0469689743554635,0.353767875426366,212438,89,14.0720863328685,0.04,12.801428,FALSE,0.0256410256410256,0.304618463298602,0.124482048870255,0.385082886666667,0,0,0.0101019647945968,0.12292807815422,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,0.247410127024475,0.0202039295891935,0,350,387,387,0,0,0,0,0.123705063512238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26842,26866,26913,27009,88.7821798729522,88.7721497826814,88.7525075225677,88.7123871614845,14.0720863328685,14.0720863328685,14.0720863328685,14.0720863328685
388,13,0.175210015663175,0.4200211691925,79733,93,5.01416645860238,0.01,7.36952,FALSE,0.149425287356322,0.366360176028189,0.0250928721455884,0.07762433,0,0,2.94003693298592e-13,0,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,0.0509113051818099,5.88007386597185e-13,0,210,387,387,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6343,6343,6343,6343,92.6309308053348,92.6309308053348,92.6309308053348,92.6309308053348,5.01416645860238,5.01416645860238,5.01416645860238,5.01416645860238
388,14,0.390853111863518,0.878382859314863,14157,92,5.82205689807519,0,8.494558,FALSE,0.408450704225352,0.467249300774349,0.07762433,0.07762433,0,0,2.9400362320265e-13,0,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.155149839401747,5.88007246405299e-13,0,334,352,387,1,0,0,0.07762433,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1314,1314,1314,1314,91.5066899360093,91.5066899360093,91.5066899360093,91.5066899360093,5.82205689807519,5.82205689807519,5.82205689807519,5.82205689807519
388,15,0.0336942340872705,0.0662516752385517,71690,93,93,0.06,100,TRUE,0.0256410256410256,0.187626003621335,0.939104251430392,0.974125223333333,0,0,2.32830643723992e-10,0.926752764456799,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,1.86585701588719,4.65661287447984e-10,0,19,31,31,11,8,0,0.92237567,0.932928507943596,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5154,5629,9676,17124,93.2929051064494,92.6747696632138,87.4082556868461,77.7158919369111,93,93,87,78
388,16,0.0810309260589884,0.130697226641518,12384,30,30,0,100,TRUE,0.0411244143675169,0.250250356965396,0.204567038489424,0.470319221111111,0,0,0.0214703280937354,0.395785591937052,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.600352630426476,0.0429406561874708,0,17,17,29,18,10,0,0.07762433,0.300176315213238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28873,24928,17039,5476,30.0167244346414,39.5787381535255,58.7003417601861,86.7271008556124,30,40,59,87
388,17,0.336810953103824,0.558080270227078,33294,94,12.6605898816419,0.04,6.869751,FALSE,0.265822784810127,0.451350746710147,0.201615222941411,0.461187835,0,0,0.0505095150868972,0.138126434305511,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.339741657246922,0.101019030173794,0,119,387,387,0,0,0,0.07762433,0.169870828623461,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2014,2091,2426,2426,94.2959102752917,94.0778293871077,93.1290359125411,93.1290359125411,12.6605898816419,12.6605898816419,0,0
388,18,0.72,0.539999987166089,43786,100,99.9999999999999,0.02,6.869751,FALSE,2.57142857142857,0.482511962132049,0.964927399592071,0.92237567,0,0.967312050276187,1.59379692997231e-32,NA,0,0,NA,TRUE,TRUE,TRUE,FALSE,FALSE,1.93462410055237,3.18759385994461e-32,0,0,387,387,0,0,0,1,0.967312050276187,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,100,100,100,100,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999
388,19,0.737607640560965,0.14012228723186,27526,93,5.01416645860238,0.04,7.36952,FALSE,0.851851851851852,0.391980028376073,0.0692600392848039,0.0517495533333333,0.323260402319587,0,0.161630220465248,0,0,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,0.138546590844302,0.323260440930496,0,228,387,387,0,0,0,0.07762433,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2190,2190,2190,2190,92.6302328711805,92.6302328711805,92.6302328711805,92.6302328711805,5.01416645860238,5.01416645860238,5.01416645860238,5.01416645860238
388,20,0.525630047112247,0.1656187890625,102011,100,99.9999999999999,0.03,7.36952,FALSE,0.639344262295082,0.38778065513775,0.947468542145588,1,0,0,1.50529855079759e-10,0.946069500814472,0,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,1.89353804296006,3.01059710159518e-10,0,2,387,387,0,0,0,0.92237567,0.94676902148003,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,402,407,0,0,99.6074717076934,99.602589515003,100,100,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999
