"model.option","network.model","mild.tendency.to.full.evasion","tax.refund.effect","targetted.auditing","bomb.crater.effect","gamblers.fallacy","media.effect","run.till.equilibrium","total.years","tax.gap","case","audit.rate","detection.eff","K","penalty.rate","tax.rate.delta","bomb.crater.factor","gamblers.fallacy.grad","gamblers.fallacy.intercept","m.qP","penalty.asymmetry.factor","s.qP","v.PP","beta.media","media.mid.effect","media.steepness","media.stochastic.offset","tax.gap.reporting.media.threshold","beta.personal","c1.dist.weight","c2","rate.refund.movement","return.weight","ave.degree.tTaxes","beta.network","full.tendency.factor","generation.half.life","morale.half.life","t.media.range","coeff.dispersion.audits"
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,0,0.009998,0.8,3,0.5,0,0.58,0.07965959,0.4270788065,0.05757815,1,0.721242291666667,0.9,0.225,0.38462916,2.2450615215625,0,0.1,0.55,0,0.7,0.1,0.08,2.62663755,0.225,1.6,14,2,13.6205,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,1,0.00815208307380604,0.745852101149739,4,0.281690890552842,0,0.932036236583264,0.105256162026593,0.564020466842275,0.0518710760517547,1,0.697462816882311,0.882308949992995,0.383898362040705,0.422111236174173,2.43862130555569,0,0.131786290321023,0.232203275918591,0.445357000566338,0.736901666712901,0.0919909553679901,0.0867591106574841,2.0448321124303,0.383898362040705,1.2255545404273,12,1,12.0224984526536,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,2,0.00981896110420277,0.734722642547535,3,0.356336664373627,0,1.80172957781277,0.0993454856292031,0.532398348116237,0.0482571175433754,1,0.682404656430731,0.879754295079909,0.380859748369612,0.318311311278084,1.90259200589698,0,0.130263539888827,0.238280503260777,0.34946539606246,0.767406855443028,0.0903144156228291,0.0722046947524763,2.05230873666861,0.380859748369612,1.16006936620224,13,2,13.3448022791616,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,3,0.00808564581396003,0.828493593336747,3,0.277679049773514,0,1.46311595662162,0.0943710860354945,0.505785310289895,0.0403122117697644,1,0.649300882374018,0.881981784125276,0.410222669402074,0.368265464052307,2.16055837295762,0,0.1291747792501,0.179554661195852,0.262301090598486,0.733527164012736,0.0819265087300293,0.0856605023492976,2.06090437133092,0.410222669402074,1.33047961998137,11,1,11.5507102651386,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,4,0.00968476113649382,0.715912770106046,4,0.280668087739318,0,1.51204718046404,0.101274539157048,0.542718784490209,0.0510562303571683,1,0.694067626488201,0.882330300459741,0.385599726549799,0.432073477534654,2.4900669425813,0,0.131863334186533,0.228800546900401,0.289919530219761,0.735757159333922,0.0824055651302975,0.0798673888916111,2.05971453513248,0.385599726549799,1.61780172690651,15,3,15.1359493422592,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,5,0.0095236020937291,0.755457948574046,4,0.322241209454965,0,1.91090569818763,0.0921520576564949,0.493913508462248,0.0457400407706136,1,0.671916836544223,0.885391060982566,0.392384577548011,0.314317612928036,1.88196829801119,0,0.130503248283744,0.215230844903977,0.270423375495383,0.758706294518827,0.0809696543563655,0.07949737680312,2.05090822142849,0.392384577548011,1.95567761154884,12,1,12.4232126183799,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,6,0.00893324105119455,0.775037527313819,4,0.300770207672466,0,1.19854700801453,0.0952875350724271,0.510688312637485,0.0499621578578647,1,0.689508991074436,0.881587736979418,0.374805639831617,0.432032237763815,2.4898539778272,0,0.130408605631156,0.250388720336766,0.36442493364733,0.765034026938429,0.0802771368565432,0.0748727356437474,2.06070477035756,0.374805639831617,1.25858991553602,15,2,14.604743487888,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,7,0.00984964154021201,0.72764313538218,3,0.353733799780676,0,0.881887653895977,0.0886867278012835,0.475373993736867,0.0386408299263923,1,0.642336791359968,0.88144088790807,0.398530935228397,0.344354489821755,2.03708060759516,0,0.129494060290889,0.202938129543206,0.460123854394001,0.750689851570057,0.085199728959484,0.0807512564072607,2.05782020379173,0.398530935228397,1.74790448273064,11,1,11.518238931363,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,8,0.00974068737625999,0.76001557065057,4,0.372844408541444,0,0.737798732851585,0.0961590798005366,0.515351076932871,0.0467794987546046,1,0.676247911477519,0.884030182443187,0.372881631268025,0.423964629417024,2.44819234409885,0,0.130283602004674,0.25423673746395,0.281856185747251,0.764395210119801,0.0831520821485813,0.0729272740537653,2.06452160569334,0.372881631268025,1.99069738347658,15,2,14.5299008409658,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,9,0.00844749058936431,0.771019606478945,4,0.328270249267181,0,1.16981535107883,0.090493323707593,0.485039281835622,0.0451979762729681,1,0.6696582344707,0.883494593205541,0.384121502763114,0.345636031168842,2.04369856720785,0,0.132013404346493,0.231756994473771,0.423615761916091,0.742625817555847,0.0805843449148923,0.0705543731156547,2.06504951936948,0.384121502763114,1.49629595283985,12,1,12.2899050345501,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,10,0.00986273599354241,0.795665110870121,4,0.342614768947012,0,0.94278631707078,0.101908212002858,0.546108934215288,0.0352622087196052,1,0.628259202998355,0.881804915215843,0.405941732011611,0.385143031015737,2.2477151836047,0,0.132547218146219,0.188116535976778,0.221585224158404,0.744345158336136,0.0890439053779836,0.0708000630464461,2.07500885177044,0.405941732011611,1.55793449627933,12,1,12.1514942226761,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,11,0.00874839088854296,0.835001982873893,4,0.36818649594925,0,0.957799501598417,0.0882415987795129,0.472992553470394,0.0376884579704731,1,0.638368574876971,0.880574257965298,0.38111931507823,0.42601252177485,2.45876778822794,0,0.130816046436051,0.237761369843539,0.322817955896276,0.749776262165461,0.0906982780473466,0.0708786597766007,2.06615210107722,0.38111931507823,1.60409277234368,14,2,13.8938035302544,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,12,0.00854163088480142,0.798947596657916,3,0.297519316102378,0,1.31369087326252,0.0968298253857786,0.518939565813916,0.0421837023307066,1,0.657098759711277,0.884159942814778,0.395324256969496,0.355269791489602,2.09344790761428,0,0.13088129313064,0.209351486061009,0.342420306315869,0.736504148448003,0.0789889828670502,0.0799544512921289,2.07541624315787,0.395324256969496,1.09642863850492,11,1,11.7021030633494,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,13,0.00817143076689994,0.720334982055196,4,0.377782512391653,0,1.20905784274371,0.0921061237009769,0.493667761800226,0.0458258984236591,1,0.672274576765246,0.879210579121037,0.389697042854075,0.394926909361239,2.29823974287328,0,0.130093489971168,0.220605914291851,0.417442594289626,0.778168759176035,0.0791961989729065,0.0811895287849366,2.04327334007635,0.389697042854075,1.72855732533814,13,2,13.2363088826049,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,14,0.00943438976627737,0.745523049219195,3,0.381341750439737,0,1.17844267215776,0.0877864742845824,0.470557637422516,0.0341173636387795,1,0.623489015161581,0.879318362723696,0.410413866660026,0.37245874029387,2.18221271354881,0,0.130180953403277,0.179172266679947,0.324739755593087,0.753900472024689,0.0843549746734088,0.0735912745067625,2.04195355331935,0.410413866660026,1.88167609427676,13,2,13.0566742955204,0.0877
1,"ER","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",100,0,15,0.00891220408360292,0.824833510697343,4,0.296213057796036,0,1.56045811473577,0.0913991658358833,0.489885537221976,0.0501060027939049,1,0.690108344974603,0.881507469092493,0.394474218987152,0.392190698121622,2.28410977701869,0,0.129618242833578,0.211051562025697,0.336982884806602,0.777373780032334,0.0915751773925482,0.0868728425706385,2.06994919135699,0.394474218987152,1.79304073863221,12,1,12.0556647199966,0.0877
